git|git|package|null|package_manager|null
curl|curl|package|null|package_manager|null
wget|wget|package|null|package_manager|null
nano|nano|package|null|package_manager|null
figlet|figlet|package|null|package_manager|null
toilet|toilet|package|null|package_manager|null
w3m|w3m|package|null|package_manager|null
zip|zip|package|null|package_manager|null
apache2|apache2|web_server,package|null|package_manager|null
nginx|nginx|web_server,package|null|package_manager|null
tor|tor|package|null|package_manager|null

c|clang|programming_language|null|package_manager|null
c++|clang|programming_language|null|package_manager|null
clang|clang|programming_language|null|package_manager|null
python|python|programming_language|null|package_manager|null
perl|perl|programming_language|null|package_manager|null
ruby|ruby|programming_language|null|package_manager|null
golang|golang|programming_language|null|package_manager|null
nodejs|nodejs|programming_language|null|package_manager|null
php|php|programming_language|null|package_manager|null

nmap|nmap|information_gathering,vulnerability_scanner|null|package_manager|null

hydra|hydra|stress_testing,password_attack|null|package_manager|null

sqlmap|sqlmap|information_gathering,vulnerability_scanner,exploitation_tools,web_hacking|https://github.com/sqlmapproject/sqlmap|git|python,git

admin-panel-finder|admin-panel-finder|web_hacking|https://github.com/bdblackhat/admin-panel-finder.git|git|python,git

credmap|credmap|null|https://github.com/lightos/credmap.git|git|python,git

hacktronian|hacktronian|null|https://github.com/thehackingsage/hacktronian.git|git|git

gasmask|gasmask|null|https://github.com/twelvesec/gasmask.git|git|python,git

dedsploit|dedsploit|null|https://github.com/ex0dus-0x/dedsploit.git|git|python,git

Cookie-stealer|Cookie-stealer|null|https://github.com/Xyl2k/Cookie-stealer.git|git|php,git

killchain|killchain|null|https://github.com/ruped24/killchain.git|git|python,git

Nethunter-In-Termux|Nethunter-In-Termux|null|https://github.com/Hax4us/Nethunter-In-Termux.git|git|git

sAINT|sAINT|null|https://github.com/tiagorlampert/sAINT.git|git|git

sqliv|sqliv|vulnerability_scanner,web_hacking|https://github.com/Hadesy2k/sqliv.git|git|python,git

theHarvester|theHarvester|information_gathering|https://github.com/laramies/theHarvester.git|git|python,git

trape|trape|ip_tracking|https://github.com/boxug/trape.git|git|python,git

uidsploit|uidsploit|null|https://github.com/siruidops/uidsploit.git|git|git

Umbrella|Umbrella|null|https://github.com/4w4k3/Umbrella.git|git|git

Vegile|Vegile|null|https://github.com/Screetsec/Vegile.git|git|git

weevely3|weevely3|null|https://github.com/epinna/weevely3.git|git|python,git

WiFi-Pumpkin|WiFi-Pumpkin|wireless_testing|https://github.com/P0cL4bs/WiFi-Pumpkin.git|git|python,git

WifiBruteCrack|WifiBruteCrack|wireless_testing|https://github.com/cinquemb/WifiBruteCrack.git|git|python,git

wirespy|wirespy|wireless_testing|https://github.com/AresS31/wirespy.git|git|git

wpscan|wpscan|information_gathering,vulnerability_scanner,web_hacking|https://github.com/wpscanteam/wpscan.git|git|ruby,git

Zerodoor|Zerodoor|null|https://github.com/Souhardya/Zerodoor.git|git|python,git

zarp|zarp|null|https://github.com/hatRiot/zarp.git|git|python,git

zambie|zambie|null|https://github.com/zanyarjamal/zambie.git|git|python,git

ExploitOnCLI|ExploitOnCLI|exploitation_tools|https://github.com/r00tmars/ExploitOnCLI.git|git|php,git

xerosploit|xerosploit|exploitation_tools|https://github.com/LionSec/xerosploit.git|git|python,git

MyServer|MyServer|web_server|https://github.com/Rajkumrdusad/MyServer.git|git|python,git

WAScan|WAScan|information_gathering,vulnerability_scanner,web_hacking|https://github.com/m4ll0k/WAScan.git|git|python,git

AutoPixieWps|AutoPixieWps|null|https://github.com/nxxxu/AutoPixieWps.git|git|python,git

LITEDDOS|LITEDDOS|ddos|https://github.com/4L13199/LITEDDOS.git|git|python,git

evilginx|evilginx|null|https://github.com/kgretzky/evilginx.git|git|python,git

fuxploider|fuxploider|null|https://github.com/almandin/fuxploider.git|git|python,git

elpscrk|elpscrk|null|https://github.com/D4Vinci/elpscrk.git|git|python,git

ezsploit|ezsploit|null|https://github.com/rand0m1ze/ezsploit.git|git|git

DSSS|DSSS|vulnerability_scanner|https://github.com/stamparm/DSSS.git|git|python,git

EvilURL|EvilURL|information_gathering|https://github.com/UndeadSec/EvilURL.git|git|python,git

OSIF|OSIF|information_gathering|https://github.com/ciku370/OSIF.git|git|python,git

CMSmap|CMSmap|information_gathering|https://github.com/Dionach/CMSmap.git|git|python,git

XSStrike|XSStrike|information_gathering,web_hacking|https://github.com/s0md3v/XSStrike.git|git|python,git

doork|doork|information_gathering,web_hacking|https://github.com/AeonDave/doork.git|git|python,git

sqlscan|sqlscan|information_gathering,vulnerability_scanner,web_hacking|https://github.com/Cvar1984/sqlscan.git|git|php,git

sqlmate|sqlmate|information_gathering,vulnerability_scanner,web_hacking|https://github.com/s0md3v/sqlmate.git|git|python,git

rang3r|rang3r|vulnerability_scanner|https://github.com/floriankunushevci/rang3r.git|git|python,git

Striker|Striker|vulnerability_scanner|https://github.com/s0md3v/Striker.git|git|python,git

Xshell|Xshell|vulnerability_scanner,web_hacking|https://github.com/Manisso/Xshell.git|git|git

SH33LL|SH33LL|vulnerability_scanner,web_hacking|https://github.com/LOoLzeC/SH33LL.git|git|python,git

blackbox|blackbox|vulnerability_scanner,exploitation_tools|https://github.com/jothatron/blackbox.git|git|python,git

Planetwork-DDOS|Planetwork-DDOS|ddos,stress_testing|https://github.com/Hydra7/Planetwork-DDOS.git|git|python,git

cupp|cupp|password_attack|https://github.com/Mebus/cupp.git|git|python,git

Hashzer|Hashzer|password_attack|https://github.com/Anb3rSecID/Hashzer.git|git|python,git

hasher|hasher|password_attack|https://github.com/CiKu370/hasher.git|git|python,git

hash-generator|hash-generator|password_attack|https://github.com/CiKu370/hash-generator.git|git|python,git

hasherdotid|hasherdotid|password_attack|https://github.com/galauerscrew/hasherdotid.git|git|python,git

webdav|webdav|web_hacking|https://github.com/hacdias/webdav.git|git|golang,git

WP-plugin-scanner|WP-plugin-scanner|web_hacking|https://github.com/mintobit/WP-plugin-scanner.git|git|python,git

ATSCAN|ATSCAN|exploitation_tools|https://github.com/AlisamTechnology/ATSCAN.git|git|git

shellnoob|shellnoob|exploitation_tools|https://github.com/reyammer/shellnoob.git|git|python,git

jboss-autopwn|jboss-autopwn|null|https://github.com/SpiderLabs/jboss-autopwn.git|git|git

KnockMail|KnockMail|sniffing_spoofing|https://github.com/4w4k3/KnockMail.git|git|python,git

Spammer-Email|Spammer-Email|sniffing_spoofing|https://github.com/p4kl0nc4t/Spammer-Email.git|git|python,git

sslstrip|sslstrip|information_gathering,sniffing_spoofing|https://github.com/moxie0/sslstrip.git|git|python,git

pyPISHER|pyPISHER|sniffing_spoofing|https://github.com/Renato-Silva/pyPISHER.git|git|python,git

torghost|torghost|null|https://github.com/susmithHCK/torghost.git|git|python,git

Parat|Parat|null|https://github.com/micle-fm/Parat.git|git|python,git

BruteX|BruteX|web_hacking|https://github.com/1N3/BruteX.git|git|python,git

trackout|trackout|information_gathering,ip_tracking|https://github.com/abaykan/trackout.git|git|python,git

IP-FY|IP-FY|information_gathering,ip_tracking|https://github.com/T4P4N/IP-FY.git|git|python,git

IP-Tracer|IP-Tracer|information_gathering,ip_tracking|https://github.com/Rajkumrdusad/IP-Tracer|git|php,git

fluxion|fluxion|wireless_testing|https://github.com/FluxionNetwork/fluxion.git|git|git

websploit|websploit|web_hacking,exploitation_tools|https://github.com/websploit/websploit.git|git|python,git

wafw00f|wafw00f|null|https://github.com/EnableSecurity/wafw00f.git|git|python,git

hakkuframework|hakkuframework|null|https://github.com/4shadoww/hakkuframework.git|git|python,git

Black-Hydra|Black-Hydra|null|https://github.com/Gameye98/Black-Hydra.git|git|python,git

